ID,Gene,gene-onnection,Status,Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location,Grouping
16,DPP7,DPP7,N/a,rs192111487-<b>?</b>,1 x 10-9,,NR,'-,'-,'-,DPP7,Waist-hip ratio,waist-hip ratio,GCST007067,9:137113669,Anthropometric
1949,DPP7,DPP7,N/a,rs192111487-<b>?</b>,3 x 10-9,,NR,'-,'-,'-,DPP7,Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST009858,9:137113669,Anthropometric
15,FAM180B,FAM180B,N/a,rs12287076-<b>C</b>,4 x 10-21,,0.625,'-,0.0192 unit increase,[0.015-0.023],"NDUFS3, FAM180B",Waist-hip ratio,waist-hip ratio,GCST008996,11:47585313,Anthropometric
1916,FAM180B,FAM180B,N/a,rs11605348-<b>A</b>,2 x 10-8,,0.349,'-,0.0402 unit decrease,[0.026-0.054],"NDUFS3, FAM180B",Height,body height,GCST008163,11:47584931,Anthropometric
1918,FGF12,FGF12,N/a,rs558068948-<b>?</b>,2 x 10-7,,NR,'-,5.249 unit decrease,NR,FGF12,Height,body height,GCST011692,3:192552536,Anthropometric
1973,FGF12,FGF12,N/a,rs4571187-<b>A</b>,6 x 10-6,,0.315,'-,0.0458 unit decrease,[0.026-0.066],FGF12,Hip circumference adjusted for BMI,BMI-adjusted hip circumference,GCST008156,3:192335485,Anthropometric
1893,H2AC6,H2AC6,N/a,rs16891359-<b>T</b>,4 x 10-6,,0.9405,'-,0.0734 unit increase,[0.042-0.105],"H2AC6, H1-4",Height,body height,GCST008163,6:26148772,Anthropometric
1894,H2AC6,H2AC6,N/a,rs75499503-<b>C</b>,8 x 10-12,,0.77991,'-,0.0114761 unit increase,[0.0082-0.0148],"H1-4, H2AC6",Adult body size,body height,GCST010988,6:26144989,Anthropometric
17,IL20RB,IL20RB,N/a,rs835649-<b>?</b>,5 x 10-9,,NR,'-,'-,'-,IL20RB,Waist-hip ratio,waist-hip ratio,GCST007067,3:136953048,Anthropometric
1920,IL20RB,IL20RB,N/a,rs34687891-<b>A</b>,3 x 10-6,,0.0775,'-,0.0613 unit decrease,[0.036-0.087],IL20RB,Height,body height,GCST008163,3:137077379,Anthropometric
1967,IL20RB,IL20RB,N/a,rs835633-<b>?</b>,4 x 10-12,,NR,'-,'-,'-,IL20RB,Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST009867,3:136957654,Anthropometric
1968,IL20RB,IL20RB,N/a,rs9843104-<b>?</b>,5 x 10-8,,NR,'-,'-,'-,IL20RB,Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST009867,3:137096333,Anthropometric
1820,KHSRPP1,KHSRPP1,N/a,rs7035284-<b>G</b>,1 x 10-8,(males),0.279,'-,0.277 Z score increase,[0.18-0.37],"H3P30, KHSRPP1",Pediatric bone mineral content (radius),bone mineral content measurement,GCST002952,9:21678974,Anthropometric
1821,KHSRPP1,KHSRPP1,N/a,rs11999970-<b>C</b>,5 x 10-7,(Males),0.195,'-,0.318959 unit increase,[0.2-0.44],"KHSRPP1, H3P30",Pediatric bone mineral content (radius),bone mineral content measurement,GCST004175,9:21677314,Anthropometric
1454,LINC00578,LINC00578,N/a,rs13077994-<b>?</b>,8 x 10-8,,NR,'-,'-,'-,LINC00578,Heel bone mineral density,heel bone mineral density,GCST007066,3:177587917,Anthropometric
1897,LINC00578,LINC00578,N/a,rs7634107-<b>?</b>,1 x 10-9,,NR,'-,'-,'-,LINC00578,Height,body height,GCST007841,3:177717331,Anthropometric
1829,LINC02574,LINC02574,N/a,rs2076463-<b>G</b>,2 x 10-8,(Japanese),0.264,'-,0.023 unit decrease,[0.015-0.031],"LINC02574, FGR",Body mass index,body mass index,GCST004904,1:27644581,Anthropometric
1830,MGST1,MGST1,N/a,rs11056875-<b>?</b>,7 x 10-10,,NR,'-,'-,'-,"SLC15A5, MGST1",Body mass index,body mass index,GCST007039,12:16317984,Anthropometric
1831,MGST1,MGST1,N/a,rs11056875-<b>?</b>,2 x 10-10,,NR,'-,'-,'-,"SLC15A5, MGST1",Body mass index,body mass index,GCST009871,12:16317984,Anthropometric
1576,MYO1B,MYO1B,N/a,rs1823913-<b>A</b>,9 x 10-6,(Diet carbohydrate ),0.38,'-,0.03 g/d increase,[NR],MYO1B,Obesity-related traits,energy intake,GCST001762,2:191253321,Anthropometric
1507,NANOS3,NANOS3,N/a,rs12162265-<b>A</b>,5 x 10-8,,0.2384,'-,0.002 unit decrease,[0.0014-0.0026],"NANOS3, MIR23AHG",Hand grip strength,grip strength measurement,GCST005830,19:13844347,Anthropometric
6,NDST1,NDST1,N/a,rs17726577-<b>?</b>,4 x 10-9,,NR,'-,'-,'-,NDST1,Waist-hip ratio,waist-hip ratio,GCST007067,5:150504862,Anthropometric
1936,NDST1,NDST1,N/a,rs113681861-<b>?</b>,2 x 10-9,,NR,'-,'-,'-,NDST1,Waist-to-hip ratio adjusted for BMI,BMI-adjusted waist-hip ratio,GCST009858,5:150505607,Anthropometric
1467,PHF2,PHF2,N/a,rs10992867-<b>G</b>,3 x 10-10,(women),0.745392,'-,0.0322475 unit decrease,[0.022-0.043],PHF2,Heel bone mineral density,heel bone mineral density,GCST006288,9:93698731,Anthropometric
1468,PHF2,PHF2,N/a,rs10992867-<b>G</b>,3 x 10-17,,0.745283,'-,0.0311923 unit decrease,[0.024-0.039],PHF2,Heel bone mineral density,heel bone mineral density,GCST006288,9:93698731,Anthropometric
1469,PHF2,PHF2,N/a,rs4743930-<b>?</b>,1 x 10-40,,NR,'-,'-,'-,PHF2,Heel bone mineral density,heel bone mineral density,GCST007066,9:93683312,Anthropometric
1470,PHF2,PHF2,N/a,rs10992867-<b>?</b>,2 x 10-35,,NR,'-,0.0284212 unit decrease,[0.024-0.033],PHF2,Heel bone mineral density,heel bone mineral density,GCST006433,9:93698731,Anthropometric
1471,PHF2,PHF2,N/a,rs12683791-<b>?</b>,3 x 10-36,,NR,'-,0.0280191 unit decrease,[0.023-0.033],PHF2,Heel bone mineral density,heel bone mineral density,GCST006433,9:93700812,Anthropometric
1472,PHF2,PHF2,N/a,rs10992867-<b>G</b>,4 x 10-8,(men),0.745158,'-,0.0311791 unit decrease,[0.02-0.043],PHF2,Heel bone mineral density,heel bone mineral density,GCST006288,9:93698731,Anthropometric
1473,PHF2,PHF2,N/a,rs4743930-<b>C</b>,5 x 10-31,,0.747683,'-,0.0253988 unit decrease,[0.021-0.03],PHF2,Heel bone mineral density,heel bone mineral density,GCST006979,9:93683312,Anthropometric
1876,PHF2,PHF2,N/a,rs2398861-<b>?</b>,1 x 10-14,,NR,'-,'-,'-,PHF2,Body mass index,body mass index,GCST007039,9:93668465,Anthropometric
1877,PHF2,PHF2,N/a,rs9695734-<b>C</b>,1 x 10-6,,0.84,'-,0.052 unit increase,[0.03-0.074],PHF2,Childhood body mass index,body mass index,GCST90002409,9:93645701,Anthropometric
1878,PHF2,PHF2,N/a,rs10116955-<b>?</b>,1 x 10-10,,NR,'-,'-,'-,PHF2,Body mass index,body mass index,GCST009871,9:93595110,Anthropometric
1879,PHF2,PHF2,N/a,rs10761247-<b>A</b>,5 x 10-11,,0.587,'-,0.0113 unit decrease,[0.008-0.0146],PHF2,Body mass index,body mass index,GCST009004,9:93641085,Anthropometric
1880,PHF2,PHF2,N/a,rs59597511-<b>?</b>,9 x 10-9,,NR,'-,'-,'-,PHF2,Body mass index,body mass index,GCST009871,9:93633936,Anthropometric
1917,PHF2,PHF2,N/a,rs10821196-<b>G</b>,5 x 10-13,,0.317602,'-,0.0107393 unit increase,[0.0078-0.0136],PHF2,Adult body size,body height,GCST010988,9:93671114,Anthropometric
1835,PPM1K,PPM1K,N/a,rs1129043-<b>?</b>,1 x 10-8,,NR,'-,'-,'-,PPM1K,Body mass index,body mass index,GCST009871,4:88261979,Anthropometric
1323,PSMG4,PSMG4,N/a,rs4317455-<b>C</b>,1 x 10-7,,NR,'-,0.4538 unit decrease,[NR],PSMG4,Bone mineral density (femoral neck) in inflammatory bowel disease,"inflammatory bowel disease, femoral neck bone mineral density",GCST005784,6:3263257,Anthropometric
1324,PSMG4,PSMG4,N/a,rs4317455-<b>C</b>,1 x 10-7,,NR,'-,0.4538 unit decrease,[NR],PSMG4,Bone mineral density (femoral neck) in inflammatory bowel disease,"inflammatory bowel disease, femoral neck bone mineral density",GCST005784,6:3263257,Anthropometric
1449,RN7SL252P,RN7SL252P,N/a,rs17598132-<b>C</b>,7 x 10-6,(men),0.868116,'-,0.0306063 unit increase,[0.016-0.045],"DLX6-AS1, RN7SL252P",Heel bone mineral density,heel bone mineral density,GCST006288,7:96950027,Anthropometric
1450,RN7SL252P,RN7SL252P,N/a,rs17598132-<b>C</b>,2 x 10-9,,0.868057,'-,0.028236 unit increase,[0.019-0.038],"DLX6-AS1, RN7SL252P",Heel bone mineral density,heel bone mineral density,GCST006288,7:96950027,Anthropometric
1451,RN7SL252P,RN7SL252P,N/a,rs17598306-<b>?</b>,5 x 10-23,,NR,'-,0.029887 unit increase,[0.024-0.036],"DLX6-AS1, RN7SL252P",Heel bone mineral density,heel bone mineral density,GCST006433,7:96952499,Anthropometric
1452,RN7SL252P,RN7SL252P,N/a,rs17598132-<b>?</b>,7 x 10-23,,NR,'-,0.0297962 unit increase,[0.024-0.036],"DLX6-AS1, RN7SL252P",Heel bone mineral density,heel bone mineral density,GCST006433,7:96950027,Anthropometric
1966,RPS3AP5,RPS3AP5,N/a,rs150795097-<b>T</b>,4 x 10-6,,0.002,'-,0.471 unit increase,[0.27-0.67],RPS3AP5,Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST008161,10:84569594,Anthropometric
462,SLC22A4,SLC22A4,N/a,rs272869-<b>A</b>,2 x 10-8,,0.4005,'-,'-,'-,"MIR3936HG, SLC22A4",Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),"smoking behavior, BMI-adjusted waist circumference",GCST004501,5:132342304,Anthropometric
463,SLC22A4,SLC22A4,N/a,rs272869-<b>A</b>,2 x 10-8,,0.4005,'-,0.0194 unit decrease,[0.013-0.026],"MIR3936HG, SLC22A4",Waist circumference adjusted for BMI (adjusted for smoking behaviour),"smoking behavior, BMI-adjusted waist circumference",GCST004500,5:132342304,Anthropometric
1959,SLC22A4,SLC22A4,N/a,rs272869-<b>A</b>,2 x 10-7,"(EA, men)",0.4038,'-,0.025 unit decrease,[0.016-0.034],"MIR3936HG, SLC22A4",Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST004063,5:132342304,Anthropometric
1960,SLC22A4,SLC22A4,N/a,rs272869-<b>A</b>,7 x 10-10,(EA),0.4038,'-,0.0212 unit decrease,[0.015-0.028],"MIR3936HG, SLC22A4",Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST004063,5:132342304,Anthropometric
1961,SLC22A4,SLC22A4,N/a,rs272869-<b>A</b>,2 x 10-7,,0.4005,'-,0.0205 unit decrease,[0.013-0.028],"MIR3936HG, SLC22A4",Waist circumference adjusted for BMI in non-smokers,BMI-adjusted waist circumference,GCST004504,5:132342304,Anthropometric
1896,SMURF2,SMURF2,N/a,rs80215473-<b>?</b>,8 x 10-10,,NR,'-,'-,'-,SMURF2,Height,body height,GCST007841,17:64593460,Anthropometric
1969,SPTBN4,SPTBN4,N/a,rs7260380-<b>?</b>,1 x 10-8,,NR,'-,'-,'-,SPTBN4,Waist circumference adjusted for body mass index,BMI-adjusted waist circumference,GCST009867,19:40480396,Anthropometric
1466,THAP3,THAP3,N/a,rs3830771-<b>?</b>,9 x 10-21,,NR,'-,0.0194123 unit increase,[0.015-0.024],THAP3,Heel bone mineral density,heel bone mineral density,GCST006433,1:6633582,Anthropometric
1915,THAP3,THAP3,N/a,rs2076363-<b>C</b>,3 x 10-8,,0.663112,'-,0.00803062 unit decrease,[0.0052-0.0109],"PHF13, THAP3",Adult body size,body height,GCST010988,1:6624846,Anthropometric
1824,TMEM45B,TMEM45B,N/a,rs10894147-<b>A</b>,7 x 10-6,(Weight z-score change ),0.104,'-,0.03 SD/y increase,[NR],TMEM45B,Obesity-related traits,body weight,GCST001762,11:129828961,Anthropometric
450,TNNI3K,TNNI3K,N/a,rs12566985-<b>A</b>,3 x 10-7,(women),0.5312,'-,0.0219 kg/m2 decrease,[0.013-0.03],"TNNI3K, FPGT-TNNI3K",BMI (adjusted for smoking behaviour),"smoking behavior, body mass index",GCST004495,1:74536509,Anthropometric
451,TNNI3K,TNNI3K,N/a,rs12566985-<b>A</b>,2 x 10-8,,0.5312,'-,0.0184 kg/m2 decrease,[0.012-0.025],"TNNI3K, FPGT-TNNI3K",BMI (adjusted for smoking behaviour),"smoking behavior, body mass index",GCST004495,1:74536509,Anthropometric
452,TNNI3K,TNNI3K,N/a,rs12566985-<b>A</b>,7 x 10-9,,0.5312,'-,'-,'-,"TNNI3K, FPGT-TNNI3K",Body mass index (joint analysis main effects and smoking interaction),"smoking behavior, body mass index",GCST004497,1:74536509,Anthropometric
453,TNNI3K,TNNI3K,N/a,rs12566985-<b>A</b>,8 x 10-7,(women),0.5312,'-,'-,'-,"TNNI3K, FPGT-TNNI3K",Body mass index (joint analysis main effects and smoking interaction),"smoking behavior, body mass index",GCST004497,1:74536509,Anthropometric
454,TNNI3K,FPGT-TNNI3K,N/a,rs12566985-<b>A</b>,3 x 10-7,(women),0.5312,'-,0.0219 kg/m2 decrease,[0.013-0.03],"TNNI3K, FPGT-TNNI3K",BMI (adjusted for smoking behaviour),"smoking behavior, body mass index",GCST004495,1:74536509,Anthropometric
455,TNNI3K,FPGT-TNNI3K,N/a,rs12566985-<b>A</b>,2 x 10-8,,0.5312,'-,0.0184 kg/m2 decrease,[0.012-0.025],"TNNI3K, FPGT-TNNI3K",BMI (adjusted for smoking behaviour),"smoking behavior, body mass index",GCST004495,1:74536509,Anthropometric
456,TNNI3K,FPGT-TNNI3K,N/a,rs12566985-<b>A</b>,7 x 10-9,,0.5312,'-,'-,'-,"TNNI3K, FPGT-TNNI3K",Body mass index (joint analysis main effects and smoking interaction),"smoking behavior, body mass index",GCST004497,1:74536509,Anthropometric
457,TNNI3K,FPGT-TNNI3K,N/a,rs12566985-<b>A</b>,8 x 10-7,(women),0.5312,'-,'-,'-,"TNNI3K, FPGT-TNNI3K",Body mass index (joint analysis main effects and smoking interaction),"smoking behavior, body mass index",GCST004497,1:74536509,Anthropometric
493,TNNI3K,TNNI3K,N/a,rs1514174-<b>C</b>,1 x 10-15,,0.43,'-,'-,'-,"FPGT-TNNI3K, TNNI3K",Body mass index x sex x age interaction (4df test),"sex interaction measurement, body mass index, age at assessment",GCST005950,1:74527379,Anthropometric
494,TNNI3K,FPGT-TNNI3K,N/a,rs1514174-<b>C</b>,1 x 10-15,,0.43,'-,'-,'-,"FPGT-TNNI3K, TNNI3K",Body mass index x sex x age interaction (4df test),"sex interaction measurement, body mass index, age at assessment",GCST005950,1:74527379,Anthropometric
717,TNNI3K,TNNI3K,N/a,rs1514174-<b>C</b>,6 x 10-6,"(Pubertal growth, females)",0.47,'-,0.08 unit decrease,[0.045-0.115],"FPGT-TNNI3K, TNNI3K",Pubertal anthropometrics,"puberty, height growth measurement",GCST001876,1:74527379,Anthropometric
718,TNNI3K,FPGT-TNNI3K,N/a,rs1514174-<b>C</b>,6 x 10-6,"(Pubertal growth, females)",0.47,'-,0.08 unit decrease,[0.045-0.115],"FPGT-TNNI3K, TNNI3K",Pubertal anthropometrics,"puberty, height growth measurement",GCST001876,1:74527379,Anthropometric
810,TNNI3K,TNNI3K,N/a,rs7526762-<b>?</b>,3 x 10-10,,NR,'-,'-,'-,"TNNI3K, FPGT-TNNI3K",Body mass index (joint analysis main effects and physical activity interaction),"physical activity measurement, body mass index",GCST004558,1:74527634,Anthropometric
811,TNNI3K,TNNI3K,N/a,rs7526762-<b>?</b>,4 x 10-9,(EA),NR,'-,'-,'-,"TNNI3K, FPGT-TNNI3K",Body mass index (joint analysis main effects and physical activity interaction),"physical activity measurement, body mass index",GCST004558,1:74527634,Anthropometric
812,TNNI3K,TNNI3K,N/a,rs7551507-<b>?</b>,2 x 10-8,"(EA, women)",NR,'-,'-,'-,"FPGT-TNNI3K, TNNI3K",Body mass index (joint analysis main effects and physical activity interaction),"physical activity measurement, body mass index",GCST004558,1:74529541,Anthropometric
813,TNNI3K,TNNI3K,N/a,rs7551507-<b>C</b>,1 x 10-9,(EA),0.443,'-,0.0228 kg/m2 increase,[0.016-0.03],"FPGT-TNNI3K, TNNI3K",Body mass index,"physical activity measurement, body mass index",GCST004557,1:74529541,Anthropometric
814,TNNI3K,TNNI3K,N/a,rs7551507-<b>C</b>,5 x 10-9,"(EA, women)",0.443,'-,0.0281 kg/m2 increase,[0.019-0.038],"FPGT-TNNI3K, TNNI3K",Body mass index,"physical activity measurement, body mass index",GCST004557,1:74529541,Anthropometric
815,TNNI3K,TNNI3K,N/a,rs7551507-<b>C</b>,9 x 10-9,"(EA,women)",0.4416,'-,0.0305 kg/m2 increase,[0.02-0.041],"FPGT-TNNI3K, TNNI3K",Body mass index in physically active individuals,"physical activity measurement, body mass index",GCST004559,1:74529541,Anthropometric
816,TNNI3K,TNNI3K,N/a,rs7551507-<b>C</b>,4 x 10-8,(EA),0.443,'-,0.0229 kg/m2 increase,[0.015-0.031],"FPGT-TNNI3K, TNNI3K",Body mass index in physically active individuals,"physical activity measurement, body mass index",GCST004559,1:74529541,Anthropometric
817,TNNI3K,TNNI3K,N/a,rs7526762-<b>A</b>,6 x 10-8,,0.4599,'-,0.0218 kg/m2 increase,[0.014-0.03],"TNNI3K, FPGT-TNNI3K",Body mass index in physically active individuals,"physical activity measurement, body mass index",GCST004559,1:74527634,Anthropometric
818,TNNI3K,TNNI3K,N/a,rs3843262-<b>?</b>,2 x 10-8,(women),NR,'-,'-,'-,"TNNI3K, ERICH3",Body mass index (joint analysis main effects and physical activity interaction),"physical activity measurement, body mass index",GCST004558,1:74547370,Anthropometric
819,TNNI3K,TNNI3K,N/a,rs7526762-<b>A</b>,4 x 10-10,,0.4599,'-,0.0222 kg/m2 increase,[0.015-0.029],"TNNI3K, FPGT-TNNI3K",Body mass index,"physical activity measurement, body mass index",GCST004557,1:74527634,Anthropometric
820,TNNI3K,TNNI3K,N/a,rs3843262-<b>A</b>,6 x 10-9,(women),0.4276,'-,0.027 kg/m2 increase,[0.018-0.036],"TNNI3K, ERICH3",Body mass index,"physical activity measurement, body mass index",GCST004557,1:74547370,Anthropometric
821,TNNI3K,TNNI3K,N/a,rs3843262-<b>A</b>,2 x 10-8,(women),0.4341,'-,0.0285 kg/m2 increase,[0.019-0.038],"TNNI3K, ERICH3",Body mass index in physically active individuals,"physical activity measurement, body mass index",GCST004559,1:74547370,Anthropometric
822,TNNI3K,FPGT-TNNI3K,N/a,rs7526762-<b>?</b>,3 x 10-10,,NR,'-,'-,'-,"TNNI3K, FPGT-TNNI3K",Body mass index (joint analysis main effects and physical activity interaction),"physical activity measurement, body mass index",GCST004558,1:74527634,Anthropometric
823,TNNI3K,FPGT-TNNI3K,N/a,rs7526762-<b>?</b>,4 x 10-9,(EA),NR,'-,'-,'-,"TNNI3K, FPGT-TNNI3K",Body mass index (joint analysis main effects and physical activity interaction),"physical activity measurement, body mass index",GCST004558,1:74527634,Anthropometric
824,TNNI3K,FPGT-TNNI3K,N/a,rs7551507-<b>?</b>,2 x 10-8,"(EA, women)",NR,'-,'-,'-,"FPGT-TNNI3K, TNNI3K",Body mass index (joint analysis main effects and physical activity interaction),"physical activity measurement, body mass index",GCST004558,1:74529541,Anthropometric
825,TNNI3K,FPGT-TNNI3K,N/a,rs7551507-<b>C</b>,1 x 10-9,(EA),0.443,'-,0.0228 kg/m2 increase,[0.016-0.03],"FPGT-TNNI3K, TNNI3K",Body mass index,"physical activity measurement, body mass index",GCST004557,1:74529541,Anthropometric
826,TNNI3K,FPGT-TNNI3K,N/a,rs7551507-<b>C</b>,5 x 10-9,"(EA, women)",0.443,'-,0.0281 kg/m2 increase,[0.019-0.038],"FPGT-TNNI3K, TNNI3K",Body mass index,"physical activity measurement, body mass index",GCST004557,1:74529541,Anthropometric
827,TNNI3K,FPGT-TNNI3K,N/a,rs7551507-<b>C</b>,9 x 10-9,"(EA,women)",0.4416,'-,0.0305 kg/m2 increase,[0.02-0.041],"FPGT-TNNI3K, TNNI3K",Body mass index in physically active individuals,"physical activity measurement, body mass index",GCST004559,1:74529541,Anthropometric
828,TNNI3K,FPGT-TNNI3K,N/a,rs7551507-<b>C</b>,4 x 10-8,(EA),0.443,'-,0.0229 kg/m2 increase,[0.015-0.031],"FPGT-TNNI3K, TNNI3K",Body mass index in physically active individuals,"physical activity measurement, body mass index",GCST004559,1:74529541,Anthropometric
829,TNNI3K,FPGT-TNNI3K,N/a,rs7526762-<b>A</b>,6 x 10-8,,0.4599,'-,0.0218 kg/m2 increase,[0.014-0.03],"TNNI3K, FPGT-TNNI3K",Body mass index in physically active individuals,"physical activity measurement, body mass index",GCST004559,1:74527634,Anthropometric
830,TNNI3K,FPGT-TNNI3K,N/a,rs7526762-<b>A</b>,4 x 10-10,,0.4599,'-,0.0222 kg/m2 increase,[0.015-0.029],"TNNI3K, FPGT-TNNI3K",Body mass index,"physical activity measurement, body mass index",GCST004557,1:74527634,Anthropometric
869,TNNI3K,TNNI3K,N/a,rs10493544-<b>T</b>,2 x 10-11,(EA),NR,'-,0.1321 unit increase,[0.093-0.171],"FPGT-TNNI3K, TNNI3K",Childhood obesity,obesity,GCST009382,1:74518151,Anthropometric
870,TNNI3K,TNNI3K,N/a,rs1514177-<b>C</b>,5 x 10-9,(Obesity class I),0.43,1.06,'-,[NR],"TNNI3K, FPGT-TNNI3K",Obesity,obesity,GCST001953,1:74525718,Anthropometric
871,TNNI3K,TNNI3K,N/a,rs1514174-<b>C</b>,1 x 10-8,(Overweight),0.44,1.04,'-,[NR],"FPGT-TNNI3K, TNNI3K",Obesity,obesity,GCST001953,1:74527379,Anthropometric
872,TNNI3K,FPGT-TNNI3K,N/a,rs10493544-<b>T</b>,2 x 10-11,(EA),NR,'-,0.1321 unit increase,[0.093-0.171],"FPGT-TNNI3K, TNNI3K",Childhood obesity,obesity,GCST009382,1:74518151,Anthropometric
873,TNNI3K,FPGT-TNNI3K,N/a,rs1514177-<b>C</b>,5 x 10-9,(Obesity class I),0.43,1.06,'-,[NR],"TNNI3K, FPGT-TNNI3K",Obesity,obesity,GCST001953,1:74525718,Anthropometric
874,TNNI3K,FPGT-TNNI3K,N/a,rs1514174-<b>C</b>,1 x 10-8,(Overweight),0.44,1.04,'-,[NR],"FPGT-TNNI3K, TNNI3K",Obesity,obesity,GCST001953,1:74527379,Anthropometric
1355,TNNI3K,TNNI3K,N/a,rs6604866-<b>C</b>,3 x 10-7,"(EA,women)",0.5564,'-,0.0239 unit decrease,[0.015-0.033],"FPGT-TNNI3K, TNNI3K",Hip circumference,hip circumference,GCST004066,1:74526862,Anthropometric
1356,TNNI3K,TNNI3K,N/a,rs6604866-<b>C</b>,4 x 10-10,(EA),0.5564,'-,0.0222 unit decrease,[0.015-0.029],"FPGT-TNNI3K, TNNI3K",Hip circumference,hip circumference,GCST004066,1:74526862,Anthropometric
1357,TNNI3K,FPGT-TNNI3K,N/a,rs6604866-<b>C</b>,3 x 10-7,"(EA,women)",0.5564,'-,0.0239 unit decrease,[0.015-0.033],"FPGT-TNNI3K, TNNI3K",Hip circumference,hip circumference,GCST004066,1:74526862,Anthropometric
1358,TNNI3K,FPGT-TNNI3K,N/a,rs6604866-<b>C</b>,4 x 10-10,(EA),0.5564,'-,0.0222 unit decrease,[0.015-0.029],"FPGT-TNNI3K, TNNI3K",Hip circumference,hip circumference,GCST004066,1:74526862,Anthropometric
1541,TNNI3K,TNNI3K,N/a,rs12041852-<b>?</b>,1 x 10-13,,NR,'-,9.774 z score decrease,NR,"FPGT-TNNI3K, TNNI3K",Childhood body fatness,fat body mass,GCST011370,1:74537816,Anthropometric
1542,TNNI3K,FPGT-TNNI3K,N/a,rs12041852-<b>?</b>,1 x 10-13,,NR,'-,9.774 z score decrease,NR,"FPGT-TNNI3K, TNNI3K",Childhood body fatness,fat body mass,GCST011370,1:74537816,Anthropometric
1734,TNNI3K,TNNI3K,N/a,rs12042908-<b>A</b>,3 x 10-84,,0.437703,'-,0.0274603 unit increase,[0.025-0.03],"TNNI3K, FPGT-TNNI3K",Body size at age 10,"comparative body size at age 10, self-reported",GCST010989,1:74532078,Anthropometric
1735,TNNI3K,FPGT-TNNI3K,N/a,rs12042908-<b>A</b>,3 x 10-84,,0.437703,'-,0.0274603 unit increase,[0.025-0.03],"TNNI3K, FPGT-TNNI3K",Body size at age 10,"comparative body size at age 10, self-reported",GCST010989,1:74532078,Anthropometric
